cid,cStruc,canonical_smiles,Isomeric_smiles,IUPAC,cFormula,InChiKey,MW,AlogP,Num_AromaticRings,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,Num_Rings,SensoryThr,toxicity_val
7,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O,(5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl)-(6-methoxyquinolin-4-yl)methanol;sulfuric acid,C20H26N2O6S,AKYHKWQPZHDOBW-UHFFFAOYSA-N,422.5,2.5204,2,6,3,4,5.0,1,0.0
9,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CC[NH+]3CC4C=C)O,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CC[NH+]3CC4C=C)O,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@H]4CC[NH+]3C[C@@H]4C=C)O,"(R)-[(2S,4R,5R)-5-ethenyl-1-azoniabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol",C20H25N2O2+,LOUPRKONTZGTKE-FOEVPDMQSA-O,325.43,1.7561,2,3,2,4,5.0,0,0.0
11,CC(C)CC(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O,CC(C)CC(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O,CC(C)CC(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O,"5,6-dihydroxy-4-(3-methylbutanoyl)-2,6-bis(3-methylbut-2-enyl)cyclohex-4-ene-1,3-dione",C21H30O5,IEHWDPKFDXJDJL-UHFFFAOYSA-N,362.47,3.6254,0,5,2,7,1.0,0,0.0
14,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O,(5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl)-(6-methoxyquinolin-4-yl)methanol;sulfuric acid,C40H50N4O8S,RONWGALEIBILOG-UHFFFAOYSA-N,746.93,5.6936,4,10,4,8,9.0,0,0.0
15,C1=CC=C(C=C1)C=O,C1=CC=C(C=C1)C=O,C1=CC=C(C=C1)C=O,benzaldehyde,C7H6O,HUMNYLRZRPPJDN-UHFFFAOYSA-N,106.12,1.4991,1,1,0,1,1.0,0,1300.0
16,[O-]S(=O)(=O)[O-].[Mg+2],[O-]S(=O)(=O)[O-].[Mg+2],[O-]S(=O)(=O)[O-].[Mg+2],magnesium;sulfate,MgO4S,CSNNHWWHGAXBCP-UHFFFAOYSA-L,120.37,-1.7188,0,4,0,0,0.0,1,0.0
32,CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,"3,5-dihydroxy-2-(3-methylbutanoyl)-4,6,6-tris(3-methylbut-2-enyl)cyclohexa-2,4-dien-1-one",C26H38O4,LSDULPZJLTZEFD-UHFFFAOYSA-N,414.59,6.8638,0,4,2,9,1.0,1,99.9
33,CC=CC1=CC=C(C=C1)OC.CC1(C2CCC(C2)(C1=O)C)C.COC1=CC=C(C=C1)CC=C,CC=CC1=CC=C(C=C1)OC.CC1(C2CCC(C2)(C1=O)C)C.COC1=CC=C(C=C1)CC=C,C/C=C/C1=CC=C(C=C1)OC.CC1(C2CCC(C2)(C1=O)C)C.COC1=CC=C(C=C1)CC=C,"1-methoxy-4-[(E)-prop-1-enyl]benzene;1-methoxy-4-prop-2-enylbenzene;2,2,4-trimethylbicyclo[2.2.1]heptan-3-one",C30H40O3,OBHSPPLZGYJDIK-ITDJAWRYSA-N,448.65,7.5537,2,3,0,5,4.0,0,0.0
36,CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,CC(C)CC(=O)C1=C(C(=C([C@](C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,"(6S)-3,5,6-trihydroxy-2-(3-methylbutanoyl)-4,6-bis(3-methylbut-2-enyl)cyclohexa-2,4-dien-1-one",C21H30O5,VMSLCPKYRPDHLN-NRFANRHFSA-N,362.47,4.2522,0,5,3,7,1.0,1,0.0
37,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,"2-hydroxy-1,2-diphenylethanone",C14H12O2,ISAOCJYIOMOJEB-UHFFFAOYSA-N,212.25,2.6029,2,2,1,3,2.0,0,10000.0
38,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3CC4CCN3C[C@@H]4C=C)O,"(R)-[(2S,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol",C20H24N2O2,LOUPRKONTZGTKE-VOMFEXJBSA-N,324.42,3.1732,2,4,1,4,5.0,0,0.0
39,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.Cl.Cl,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.Cl.Cl,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.Cl.Cl,"(R)-[(2S,4S,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol;dihydrochloride",C20H26Cl2N2O2,NNKXWRRDHYTHFP-HZQSTTLBSA-N,397.35,4.0168,2,4,1,4,5.0,0,0.0
40,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.Cl,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.Cl,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.Cl,"(R)-[(2S,4S,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol;hydrochloride",C20H25ClN2O2,LBSFSRMTJJPTCW-DSXUQNDKSA-N,360.89,3.595,2,4,1,4,5.0,1,0.0
41,CC1C2CCC(C3C4C5C=C(C6(C4C(=C3C2OC1=O)C)C5C(CCC7C6OC(=O)C7C)(C)O)C)(C)O,CC1C2CCC(C3C4C5C=C(C6(C4C(=C3C2OC1=O)C)C5C(CCC7C6OC(=O)C7C)(C)O)C)(C)O,C[C@H]1[C@@H]2CC[C@]([C@@H]3[C@H]4[C@H]5C=C([C@@]6([C@H]4C(=C3[C@H]2OC1=O)C)[C@@H]5[C@@](CC[C@@H]7[C@@H]6OC(=O)[C@H]7C)(C)O)C)(C)O,,C30H40O6,PZHWYURJZAPXAN-ILOFNVQHSA-N,496.64,3.8024,0,6,2,0,7.0,1,0.0
42,CC1C2CCC3(C4(O3)CC=C(C4C2OC1=O)C)C,CC1C2CCC3(C4(O3)CC=C(C4C2OC1=O)C)C,CC1C2CCC3(C4(O3)CC=C(C4C2OC1=O)C)C,,C15H20O3,CBRKCJOSZHRKFH-UHFFFAOYSA-N,248.32,2.4518,0,3,0,0,4.0,0,0.0
43,CC1=CCC23C1C4C(CCC2(O3)C)C(=C)C(=O)O4,CC1=CCC23C1C4C(CCC2(O3)C)C(=C)C(=O)O4,CC1=CC[C@@]23[C@@H]1[C@@H]4[C@@H](CC[C@@]2(O3)C)C(=C)C(=O)O4,,C15H18O3,UVJYAKBJSGRTHA-ZCRGAIPPSA-N,246.31,2.3719,0,3,0,0,4.0,0,0.0
44,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,,C17H11NO7,BBFQZRXNYIEMAW-UHFFFAOYSA-N,341.28,3.3367,3,6,1,3,4.0,0,0.0
45,CC1=CC2C(CCC(=C)C(CC1)O)C(=C)C(=O)O2,CC1=CC2C(CCC(=C)C(CC1)O)C(=C)C(=O)O2,C/C/1=C\[C@@H]2[C@@H](CCC(=C)[C@@H](CC1)O)C(=C)C(=O)O2,"(3aS,7R,10E,11aR)-7-hydroxy-10-methyl-3,6-dimethylidene-4,5,7,8,9,11a-hexahydro-3aH-cyclodeca[b]furan-2-one",C15H20O3,JNHKVMWTQCZYHK-CVZWCJCVSA-N,248.32,2.5216,0,3,1,0,2.0,0,0.0
46,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,"1,3,7-trimethylpurine-2,6-dione",C8H10N4O2,RYYVLZVUVIJVGH-UHFFFAOYSA-N,194.19,-1.0293,2,6,0,0,2.0,1,192.0
48,CC1C(CC2(C(C1(CC(C3=COC=C3)O)C=O)CCC(C2(C)O)O)C)OC(=O)C,CC1C(CC2(C(C1(CC(C3=COC=C3)O)C=O)CCC(C2(C)O)O)C)OC(=O)C,C[C@@H]1[C@@H](C[C@@]2([C@@H]([C@]1(C[C@H](C3=COC=C3)O)C=O)CC[C@H]([C@]2(C)O)O)C)OC(=O)C,"[(2R,3S,4S,4aS,7R,8R,8aR)-4-formyl-4-[(2R)-2-(furan-3-yl)-2-hydroxyethyl]-7,8-dihydroxy-3,8,8a-trimethyl-2,3,4a,5,6,7-hexahydro-1H-naphthalen-2-yl] acetate",C22H32O7,ZOWKQQIGQBVKSV-BZLLESMPSA-N,408.49,2.3881,1,7,3,5,3.0,0,0.0
