cID,bitterClassification,SensoryTestConcentration_mM
7,Unclassified,0.008
7,Unclassified,0.008
16,"short-lasting, metallic bitter taste quality perceived mainly at the anterior part of the tongue,
",166.0
32,Unclassified,0.035
32,Unclassified,0.035
32,Unclassified,0.035
36,Unclassified,0.021
36,Unclassified,0.021
36,Unclassified,0.021
40,Unclassified,0.007
40,Unclassified,0.00538
40,Unclassified,0.261
40,Unclassified,0.03
41,Unclassified,0.00013
46,"providing a long-lasting bitterness perceived all over in the oral cavity
",8.0
46,Unclassified,1.15e-06
46,Unclassified,0.5
46,Unclassified,14.5
46,bitter,0.7
46,Unclassified,0.5
51,Unclassified,0.04
51,Unclassified,0.04
53,Unclassified,0.063
71,Unclassified,0.004
71,"biterness of 1:58,000,000,  most bitter compound known
",2.9e-05
72,Unclassified,0.021
73,Unclassified,0.017
73,Unclassified,0.017
74,Unclassified,0.039
74,Unclassified,0.017
74,Unclassified,0.039
75,Unclassified,0.016
75,Unclassified,0.016
76,Unclassified,0.01
76,Unclassified,0.01
79,Unclassified,0.02
79,Unclassified,0.02
80,Unclassified,0.019
80,Unclassified,0.019
81,Unclassified,0.037
81,Unclassified,0.037
81,Unclassified,0.037
82,Unclassified,0.007
82,Unclassified,0.007
83,Unclassified,0.01
83,Unclassified,0.01
84,Unclassified,0.008
85,Unclassified,0.013
85,Unclassified,0.013
88,Unclassified,0.008
91,Unclassified,0.0008
91,Unclassified,0.0007
91,most bitter alkaloid,0.0007
94,Unclassified,0.000192
97,Unclassified,1.8e-05
100,Unclassified,0.003
100,intense bitter taste,0.0016
103,Unclassified,0.9
103,Unclassified,0.9
103,Unclassified,0.9
103,Unclassified,0.9
104,Unclassified,0.4
104,Unclassified,0.4
106,Unclassified,0.275
108,Unclassified,0.01362
114,Unclassified,0.00212
114,Unclassified,0.075
115,Unclassified,2.111
119,Unclassified,0.00328
120,Unclassified,0.0107
129,Unclassified,0.0928
178,Unclassified,0.0354
183,Unclassified,0.142
269,Unclassified,10.0
269,Unclassified,11.0
269,Unclassified,11.0
269,Unclassified,11.0
348,Unclassified,0.00408
368,Unclassified,0.062
373,Unclassified,0.93
405,Unclassified,0.02198
444,Unclassified,0.03309
461,"imparting a long-lasting bitter taste sensation perceived mainly in the back of the tongue as well as the throat
",1.4
461,Unclassified,0.2
461,Unclassified,0.2
461,Unclassified,0.2
461,Unclassified,0.2
482,Unclassified,0.068
488,Unclassified,0.639
514,Unclassified,0.5
544,Unclassified,0.264
644,Unclassified,0.033
645,Unclassified,0.1
645,Unclassified,0.1
650,Unclassified,0.019
655,Unclassified,0.01
655,Unclassified,0.015
657,Unclassified,0.04
658,Unclassified,0.0002
658,Unclassified,0.0294
658,Unclassified,0.01176
664,Unclassified,0.64
673,Unclassified,0.28
673,Unclassified,0.277
673,Unclassified,0.28
673,Unclassified,0.28
674,Unclassified,0.38
674,Unclassified,0.387
678,Unclassified,0.04
681,Unclassified,0.0902
690,Unclassified,0.182
693,Unclassified,0.15
696,Unclassified,0.09289
703,Unclassified,0.14
705,Unclassified,45.0
705,Unclassified,48.0
705,Unclassified,48.0
747,Unclassified,150.0
749,Unclassified,0.75
751,Unclassified,11.0
751,Unclassified,12.0
751,Unclassified,12.0
752,Unclassified,45.0
752,Unclassified,45.0
752,Unclassified,58.0
800,Unclassified,0.0015
801,Unclassified,0.001
804,Unclassified,17.0
806,Unclassified,7.31
806,Unclassified,7.31
808,Unclassified,0.19
808,Unclassified,0.38
808,Unclassified,0.38
809,Unclassified,0.41
809,Unclassified,1.0
809,Unclassified,1.0
810,Unclassified,0.08862
810,Unclassified,0.1
811,Unclassified,0.1143199
811,Unclassified,0.008
812,Unclassified,0.0805699
813,Unclassified,0.54
813,Unclassified,0.8
813,Unclassified,0.93
814,Unclassified,0.52
815,Unclassified,0.26
827,Unclassified,5.0
827,Unclassified,5.0
827,Unclassified,5.0
827,Unclassified,5.0
828,Unclassified,1.58
828,Unclassified,0.398
833,Unclassified,1.202
834,Unclassified,22.909
835,Unclassified,4.365
836,Unclassified,15001.413
837,Unclassified,3.02
886,Unclassified,0.01748
887,Unclassified,0.03309
888,Unclassified,0.03142
894,Unclassified,0.011
923,Unclassified,0.206
942,"primarily bitter taste, with additional medicinal, metallic, astringent, and salty ratings for both young and elderly groups.",4.0
955,Unclassified,0.036
966,Unclassified,18.0
966,Unclassified,18.0
978,Unclassified,0.078
978,Unclassified,0.078
978,Unclassified,0.078
979,Unclassified,0.06
979,Unclassified,0.06
979,Unclassified,0.06
980,Unclassified,0.17
980,Unclassified,0.17
980,Unclassified,0.17
981,Unclassified,0.096
981,Unclassified,0.096
981,Unclassified,0.096
982,Unclassified,0.13
982,Unclassified,0.13
982,Unclassified,0.13
983,Unclassified,0.113
983,Unclassified,0.113
983,Unclassified,0.113
984,Unclassified,0.101
984,Unclassified,0.101
985,Unclassified,0.081
985,Unclassified,0.081
986,Unclassified,0.007
987,Unclassified,0.006
987,Unclassified,0.006
998,Unclassified,0.07
998,Unclassified,0.244
999,Unclassified,0.223
1000,Unclassified,0.888
1001,Unclassified,1.147
1003,Unclassified,0.02
1003,Unclassified,0.02
1004,Unclassified,0.35
1005,Unclassified,0.18
1006,Unclassified,0.08
1006,Unclassified,0.08
1007,Unclassified,0.2
1007,Unclassified,0.2
1009,Unclassified,0.007
1009,Unclassified,0.007
1010,Unclassified,0.006
1010,Unclassified,0.006
1011,Unclassified,0.008
1011,Unclassified,0.008
1012,Unclassified,0.006
1012,Unclassified,0.006
1013,Unclassified,0.016
1013,Unclassified,0.016
1014,Unclassified,0.02
1014,Unclassified,0.02
1015,Unclassified,0.024
1015,Unclassified,0.024
1016,Unclassified,0.007
1016,Unclassified,0.007
1017,Unclassified,0.012
1017,Unclassified,0.012
1018,Unclassified,0.024
1018,Unclassified,0.024
1019,Unclassified,0.015
1019,Unclassified,0.015
1020,Unclassified,0.006
1020,Unclassified,0.006
1021,Unclassified,0.025
1021,Unclassified,0.025
1022,Unclassified,0.025
1023,Unclassified,0.013
1024,Unclassified,0.009
1025,Unclassified,0.029
1025,Unclassified,0.029
1026,Unclassified,0.009
1026,Unclassified,0.009
1027,Unclassified,0.008
1027,Unclassified,0.008
1028,Unclassified,0.014
1029,Unclassified,0.019
1029,Unclassified,0.019
1030,Unclassified,0.022
1030,Unclassified,0.022
1031,Unclassified,0.044
1032,Unclassified,0.184
1032,Unclassified,0.184
1033,Unclassified,0.189
1033,Unclassified,0.189
1034,Unclassified,0.195
1034,Unclassified,0.195
1035,Unclassified,0.198
1035,Unclassified,0.715
1035,Unclassified,0.198
1036,Unclassified,0.028
1037,Unclassified,0.0027
1037,Unclassified,0.029
1037,Unclassified,0.014
1037,Unclassified,0.029
1038,Unclassified,0.035
1038,Unclassified,0.035
1039,Unclassified,0.005
1039,Unclassified,0.005
1040,Unclassified,0.01
1040,Unclassified,0.01
1041,Unclassified,0.037
1042,Unclassified,0.01
1042,Unclassified,0.01
1084,Unclassified,0.0079
1084,Unclassified,0.0079
1087,Unclassified,0.0685
1087,Unclassified,0.0685
1091,Unclassified,0.0171
1094,Unclassified,0.0205
1097,Unclassified,0.0544
1100,Unclassified,0.0405
1103,Unclassified,0.0903
1103,Unclassified,0.0903
1110,Unclassified,2.58
1110,Unclassified,2.58
1111,Unclassified,0.5
1112,Unclassified,0.2
1113,Unclassified,0.06
1114,Unclassified,0.0659
1115,Unclassified,0.0659
1116,Unclassified,0.0109
1117,Unclassified,0.0109
1118,Unclassified,0.0255
1119,Unclassified,0.0255
1120,Unclassified,0.0706
1121,Unclassified,0.1997
1122,Unclassified,3.25
1122,Unclassified,3.25
1123,Unclassified,1.02
1123,Unclassified,1.02
1124,Unclassified,1.19
1124,Unclassified,1.19
1125,Unclassified,0.61
1125,Unclassified,0.61
1126,Unclassified,3.81
1126,Unclassified,3.81
1127,Unclassified,0.59
1127,Unclassified,0.59
1128,Unclassified,0.68
1128,Unclassified,0.68
1129,Unclassified,0.57
1129,Unclassified,0.57
1130,Unclassified,1.49
1130,Unclassified,1.49
1131,Unclassified,1.47
1131,Unclassified,1.47
1132,Unclassified,0.96
1132,Unclassified,0.96
1133,Unclassified,1.0
1133,Unclassified,1.0
1134,Unclassified,1.26
1134,Unclassified,1.261
1135,Unclassified,0.48
1135,Unclassified,0.48
1136,Unclassified,0.19
1136,Unclassified,0.19
1137,Unclassified,1.28
1137,Unclassified,1.28
1138,Unclassified,0.21
1138,Unclassified,0.21
1139,Unclassified,1.26
1139,Unclassified,1.26
1140,Unclassified,0.54
1140,Unclassified,0.54
1141,Unclassified,0.53
1141,Unclassified,0.53
1142,Unclassified,0.47
1142,Unclassified,0.47
1143,Unclassified,0.19
1143,Unclassified,0.19
1144,Unclassified,0.19
1144,Unclassified,0.19
1145,Unclassified,0.48
1145,Unclassified,0.48
1146,Unclassified,0.5
1146,Unclassified,0.5
1147,Unclassified,3.91
1147,Unclassified,3.91
1148,Unclassified,1.83
1148,Unclassified,0.83
1149,Unclassified,0.82
1149,Unclassified,0.818
1150,Unclassified,85.0
