cID,rID,Classification,EC50microM,THRmicroM,Efficacy
32,1,Bitter,29.5,0.1,0.1
32,14,Bitter,29.5,3.0,0.1
36,1,Bitter,1.4,0.1,0.1
36,40,Bitter,0.4,0.1,0.1
37,10,Bitter,29.5,30.0,0.1
37,14,Bitter,29.5,10.0,0.1
38,1001,Bitter,29.5,10.0,0.1
38,1002,Bitter,29.5,10.0,0.1
38,1007,Bitter,29.5,10.0,0.1
41,1007,Bitter,29.5,100.0,0.1
46,1002,Bitter,29.5,30.0,0.1
49,1001,Bitter,29.5,300.0,0.1
49,1002,Bitter,29.5,30.0,0.1
54,1002,Bitter,29.5,10.0,0.1
54,1007,Bitter,29.5,100.0,0.1
55,1007,Bitter,29.5,300.0,0.1
56,4,Bitter,29.5,300.0,0.1
56,10,Bitter,29.5,300.0,0.1
56,46,Bitter,29.5,300.0,0.1
56,1001,Bitter,29.5,300.0,0.1
57,14,Bitter,29.5,300.0,0.1
58,14,Bitter,29.5,100.0,0.1
58,1007,Bitter,29.5,30.0,0.1
59,14,Bitter,29.5,0.1,0.1
60,4,Bitter,29.5,30.0,0.1
60,7,Bitter,29.5,10.0,0.1
60,10,Bitter,29.5,10.0,0.1
60,14,Bitter,29.5,100.0,0.1
60,38,Bitter,29.5,100.0,0.1
60,39,Bitter,29.5,100.0,0.1
60,40,Bitter,29.5,100.0,0.1
60,46,Bitter,29.5,100.0,0.1
60,1001,Bitter,29.5,10.0,0.1
60,1002,Bitter,29.5,100.0,0.1
60,1007,Bitter,29.5,100.0,0.1
61,14,Bitter,29.5,30.0,0.1
61,1001,Bitter,29.5,10.0,0.1
62,1,Bitter,29.5,100.0,0.1
62,4,Bitter,29.5,100.0,0.1
62,7,Bitter,29.5,10.0,0.1
62,10,Bitter,29.5,30.0,0.1
62,13,Bitter,29.5,30.0,0.1
62,14,Bitter,29.5,10.0,0.1
62,16,Bitter,29.5,100.0,0.1
62,38,Bitter,29.5,100.0,0.1
62,39,Bitter,29.5,100.0,0.1
62,40,Bitter,29.5,30.0,0.1
62,43,Bitter,29.5,30.0,0.1
62,44,Bitter,29.5,3.0,0.1
62,46,Bitter,29.5,30.0,0.1
62,47,Bitter,29.5,100.0,0.1
62,49,Bitter,29.5,100.0,0.1
62,1001,Bitter,29.5,10.0,0.1
62,1002,Bitter,29.5,100.0,0.1
62,1007,Bitter,29.5,100.0,0.1
63,1,Bitter,29.5,100.0,0.1
63,14,Bitter,1700.0,100.0,0.1
63,14,Bitter,29.5,2.9,0.1
63,38,Bitter,29.5,0.3,0.1
64,14,Bitter,29.5,3000.0,0.1
65,14,Bitter,29.5,0.01,0.1
66,10,Bitter,29.5,30.0,0.1
66,14,Bitter,29.5,30.0,0.1
69,1001,Bitter,29.5,100.0,0.1
69,1002,Bitter,29.5,1000.0,0.1
69,1007,Bitter,29.5,300.0,0.1
70,1002,Bitter,29.5,300.0,0.1
70,1007,Bitter,29.5,300.0,0.1
71,1,Bitter,29.5,30.0,0.1
71,4,Bitter,29.5,300.0,0.1
71,39,Bitter,29.5,300.0,0.1
71,43,Bitter,29.5,30.0,0.1
71,46,Bitter,29.5,10.0,0.1
71,47,Bitter,29.5,3.0,0.1
71,50,Bitter,29.5,100.0,0.1
71,1007,Bitter,29.5,100.0,0.1
72,1,Bitter,29.5,0.1,0.1
72,40,Bitter,29.5,0.03,0.1
73,1,Bitter,3.3,0.03,0.1
73,40,Bitter,2.6,0.003,0.1
74,1,Bitter,29.5,0.1,0.1
74,40,Bitter,29.5,0.03,0.1
75,1,Bitter,29.5,3.0,0.1
75,14,Bitter,29.5,3.0,0.1
75,40,Bitter,29.5,10.0,0.1
76,1,Bitter,29.5,1.0,0.1
76,14,Bitter,29.5,3.0,0.1
76,40,Bitter,29.5,3.0,0.1
77,1,Bitter,29.5,10.0,0.1
77,10,Bitter,29.5,10.0,0.1
78,1,Bitter,29.5,3000.0,0.1
78,38,Bitter,29.5,1000.0,0.1
79,1,Bitter,9.0,0.3,0.1
79,14,Bitter,11.2,1.0,0.1
80,1,Bitter,10.6,1.0,0.1
80,14,Bitter,14.5,1.0,0.1
81,1,Bitter,2.2,1.0,0.1
81,14,Bitter,4.1,3.0,0.1
82,1,Bitter,7.4,1.0,0.1
82,14,Bitter,9.4,1.0,0.1
83,1,Bitter,3.3,0.3,0.1
83,14,Bitter,2.6,0.3,0.1
84,1,Bitter,2.5,0.3,0.1
84,14,Bitter,2.8,1.0,0.1
85,1,Bitter,6.7,0.3,0.1
85,14,Bitter,9.0,1.0,0.1
86,1,Bitter,29.5,30000.0,0.1
86,38,Bitter,29.5,30000.0,0.1
87,3,Bitter,29.5,10.0,0.1
87,10,Bitter,29.5,10000.0,0.1
87,14,Bitter,29.5,10.0,0.1
87,39,Bitter,29.5,100.0,0.1
87,1001,Bitter,29.5,1000.0,0.1
