"cID","bitterResource","description","molIDinResource","type","bitterClassification","SensoryTestConcentration_mM","EC50_mM","thrPerKg_mM","citation","organism"
"7","fenarolis handbook of flavor ingredients",,,,,,,,,NULL
"7","https://www.ncbi.nlm.nih.gov/pubmed/7878099",,,"pubMed",,"0.008",,,"Guinard JX, Hong DY, Zoumas-Morse C, Budwig C, Russell GF (1994). Chemoreception and perception of the bitterness of isohumulones. Physiol Behav 56(6): 1257-63.",NULL
"7","https://www.sciencedirect.com/science/article/pii/B9780080453828001088",,,"URL",,"0.008",,,,NULL
"7","pubChem",,,,,,,,,NULL
"9","pubChem",,,,,,,,,NULL
"11","pubChem",,,,,,,,,NULL
"14","fenarolis handbook of flavor ingredients",,,,"very bitter taste",,,,,NULL
"14","pubChem",,,,,,,,,NULL
"15","https://pubmed.ncbi.nlm.nih.gov/35470959/",,,"pubMed",,,,,"Wang Y. et al. Flavor challenges in extruded plant-based meat alternatives: A review, Comprehensive Reviews in Food Science and Food Safety, 2022, 21(3), 2898-2929",NULL
"15","merck",,,,,,,,,NULL
"15","pubChem",,,,,,,,,NULL
"16","https://link.springer.com/article/10.1007%2Fs12078-009-9049-1",,,"springerlink","short-lasting, metallic bitter taste quality perceived mainly at the anterior part of the tongue,
","166",,,,NULL
"16","https://pubmed.ncbi.nlm.nih.gov/30928101/",,,"pubMed",,,,,"Behrens M. et al. The human bitter taste receptor TAS2R7 facilitates the detection of bitter salts, Biochemical and Biophysical Research Communications, 2019, Volume 512, Issue 4, Pages 877-881",NULL
"16","https://pubmed.ncbi.nlm.nih.gov/33784867/",,,"pubMed",,,,,"Ziegler F. and Behrens M. Bitter taste receptors of the common vampire bat are functional and show conserved responses to metal ions in vitro, Proceedings of the Royal Society B: Biological Sciences, 2021, 288(1947)",NULL
"16","merck",,,,,,,,,NULL
"16","pubChem",,,,,,,,,NULL
"32","http://www.springerlink.com/content/d6420l0505377301/",,,"springerlink",,"0.035",,,,NULL
"32","https://doi.org/10.1007/s12078-009-9049-1",,,"URL",,,,,,NULL
"32","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"32","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.035",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"32","https://pubmed.ncbi.nlm.nih.gov/37110532/",,,"pubMed",,"0.035",,,"Karolkowski A. et al. Non-Volatile Compounds Involved in Bitterness and Astringency of Pulses: A Review, Molecules, 2023, 28(8), 3298",NULL
"32","https://pubmed.ncbi.nlm.nih.gov/37413835/",,,"pubMed",,,,,"Yang J. et al. Discovery and verification of bitter components in Panax notoginseng based on the integrated strategy of pharmacophore model, system separation and bitter tracing technology, Food Chemistry, 2023, 428, 136716",NULL
"32","merck",,,,,,,,,NULL
"32","pubChem",,,,,,,,,NULL
"33","pubChem",,,,,,,,,NULL
"36","http://www.springerlink.com/content/d6420l0505377301/",,,"springerlink",,"0.021",,,,NULL
"36","https://doi.org/10.1007/s12078-009-9049-1",,,"URL",,,,,,NULL
"36","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"36","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"36","https://pubmed.ncbi.nlm.nih.gov/34785711/",,,"pubMed",,,,,"Cui M. et al. Activation of specific bitter taste receptors by olive oil phenolics and secoiridoids,Â Sci Rep, 2021, 11, 22340",NULL
"36","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.021",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"36","https://pubmed.ncbi.nlm.nih.gov/37110532/",,,"pubMed",,"0.021",,,"Karolkowski A. et al. Non-Volatile Compounds Involved in Bitterness and Astringency of Pulses: A Review, Molecules, 2023, 28(8), 3298",NULL
