compound_id,external_id,annotations
78,CHEBI:6584,"anthocyanidin cation
"
78,C08652,"Anthocyanidins and anthocyanins
"
78,CPD-11945,"a small molecule
"
87,LMPK12120534,"Chalcones and dihydrochalcones
"
97,CHEBI:76132,"polyphenol
gallate ester
catechin
"
97,LMPK12020089,"Flavans, Flavanols and Leucoanthocyanidins
"
176,CHEBI:18010,"trihydroxyflavone
dimethoxyflavone
"
176,C01265,"flavonols
"
176,LMPK12112731,"Flavones and Flavonols
"
176,345-TRIHYDROXY-37-DIMETHOXYFLAVONE,"a flavonol derivative
"
218,LMPK12113021,"Flavones and Flavonols
"
275,CHEBI:75489,"cinnamate ester
cyclitol carboxylic acid
"
316,CHEBI:41941,"catechols
dihydroxyphenylacetic acid
"
358,CHEBI:49584,"phenols
"
358,CPD-10596,"an aromatic compound
"
362,CHEBI:16469,"17beta-hydroxy steroid
estradiol
"
362,C00951,"C18 steroids (estrogens) and derivatives
Estrane and derivatives
Estrogens
"
362,LMST02010001,"C18 steroids (estrogens) and derivatives
"
364,LMPK12113018,"Flavones and Flavonols
"
371,CHEBI:17113,"butane-1,2,3,4-tetrol
"
412,LMFA07010627,"Wax monoesters
"
416,LMFA07010625,"Wax monoesters
"
431,LMPK12050003,"Isoflavonoids
"
432,CHEBI:17818,"tyramines
"
433,CHEBI:15760,"monoamine molecular messenger
primary amino compound
tyramines
"
433,C00483,"Biogenic amines
Tyramine derivatives
"
435,CHEBI:17458,"tyramines
"
435,C02442,"Tyramine derivatives
"
436,CHEBI:17183,"benzophenanthridine alkaloid
"
436,C06162,"Isoquinoline alkaloids
"
436,SANGUINARINE,"a small molecule
"
437,CHEBI:34970,"carbamate ester
organic heterotricyclic compound
guanidines
alkaloid
"
437,C13757,"Alkaloids
Carbamate derivatives
"
442,CHEBI:27479,"hydroxyisoflavone
"
442,C02495,"Isoflavonoids
isoflavones
"
442,LMPK12050083,"Isoflavonoids
"
442,2-HYDROXYDAIDZEIN,"a small molecule
"
446,CHEBI:17895,"L-alpha-amino acid
erythrose 4-phosphate/phosphoenolpyruvate family amino acid
tyrosine
"
446,C00082,"Common amino acids
"
447,CHEBI:28241,"benzylisoquinoline alkaloid
dimethoxybenzene
isoquinolines
"
447,C06533,"Isoquinoline alkaloids
"
452,CHEBI:28821,"benzodioxoles
piperidine alkaloid
carboxamide
N-acylpiperidine
"
452,C03882,"Piperidine alkaloids
"
453,CHEBI:28177,"dimethylxanthine
"
453,C07130,"Purine alkaloids
"
453,CPD-12479,"a small molecule
"
455,CHEBI:28946,"dimethylxanthine
"
455,C07480,"Purine alkaloids
"
455,3-7-DIMETHYLXANTHINE,"a small molecule
"
461,CHEBI:16927,"L-lysine derivative
"
463,CHEBI:35280,"amino-acid betaine
n-methyl-l-amino acid
"
463,C10172,"Pyrrolidine alkaloids
"
465,CHEBI:16414,"L-alpha-amino acid
pyruvate family amino acid
valine
"
465,C00183,"Common amino acids
"
470,CPD0-2189,"a small molecule
"
474,CHEBI:18019,"L-alpha-amino acid
lysine
aspartate family amino acid
"
474,C00047,"Common amino acids
"
476,CHEBI:17752,"acetyl-L-lysine
N(6)-acyl-L-lysine
"
484,CHEBI:15428,"alpha-amino acid
serine family amino acid
"
484,C00037,"Common amino acids
Amino acids
"
505,CHEBI:609827,"L-alpha-amino acid
"
508,CHEBI:17929,"methyl-L-arginine
"
509,CHEBI:25682,"methyl-L-arginine
"
510,CHEBI:28229,"methyl-L-arginine
"
511,CHEBI:15727,"dipeptide
"
517,CHEBI:63961,"tripeptide
"
520,NALPHANALPHANALPHA-TRIMETHYL-L-H,"a small molecule
"
522,CHEBI:15699,"homoserine
"
522,C00263,"Other amino acids
"
546,CHEBI:30913,"pipecolic acid
"
546,C00408,"Piperidine alkaloids
"
556,CHEBI:16977,"L-alpha-amino acid
pyruvate family amino acid
alanine
"
556,C00041,"Common amino acids
"
565,CHEBI:18145,"alpha-tocopherol
"
565,C02477,"Vitamin E
Fat-soluble vitamins
"
565,LMPR02020000,"Vitamin E
"
567,CHEBI:15765,"dopa
"
567,C00355,"Other amino acids
Biogenic amines
"
569,CHEBI:2877,"dipeptide
"
570,CHEBI:17203,"L-alpha-amino acid
glutamine family amino acid
proline
"
570,C00148,"Common amino acids
"
572,CHEBI:16347,"carnitine
"
574,CHEBI:16709,"monohydroxypyridine
hydroxymethylpyridine
methylpyridines
vitamin B6
"
574,C00314,"Water-soluble vitamins
"
574,PYRIDOXINE,"a vitamin B6
"
578,CHEBI:15709,"8-hydroxyfurocoumarin
"
578,C00841,"Furanocoumarins
"
578,CPD-13041,"an 8-hydroxyfurocoumarin
"
582,LMPK12110091,"Flavones and Flavonols
"
584,C10065,"xanthenes
"
586,LMPK12090021,"Coumestan flavonoids
"
591,CHEBI:4932,"dihydroxyflavone
trimethoxyflavone
"
591,C10040,"Flavones and Flavonols
flavones
"
591,LMPK12111228,"Flavones and Flavonols
"
604,CHEBI:6052,"monomethoxyflavone
tetrahydroxyflavone
7-hydroxyflavonol
"
604,C10084,"Flavones and Flavonols
flavonols
"
604,LMPK12110002,"Flavones and Flavonols
"
618,LMPK12110897,"Flavones and Flavonols
"
625,LMPK12111569,"Flavones and Flavonols
"
633,CHEBI:28499,"tetrahydroxyflavone
flavonols
"
633,C05903,"Flavones and Flavonols
flavonols
"
633,LMPK12110003,"Flavones and Flavonols
"
640,LMPK12110918,"Flavones and Flavonols
"
641,LMPK12110917,"Flavones and Flavonols
"
642,LMPK12110895,"Flavones and Flavonols
"
647,LMPK12111017,"Flavones and Flavonols
"
651,CHEBI:69094,"dihydroxyflavone
dimethoxyflavone
"
651,C17765,"Isoflavonoids
"
651,LMPK12050069,"Isoflavonoids
"
652,LMPK12113241,"Flavones and Flavonols
"
655,CPD-3061,"a flavanone
"
657,CHEBI:5262,"trihydroxyflavone
7-hydroxyflavonol
"
657,C10044,"Flavones and Flavonols
"
657,LMPK12111653,"Flavones and Flavonols
"
658,C11577,"flavonols
"
658,LMPK12111654,"Flavones and Flavonols
"
662,CHEBI:30778,"trihydroxybenzoic acid
"
662,C01424,"Gallotannins
"
674,LMPK12050074,"Isoflavonoids
"
675,LMPK12050004,"Isoflavonoids
"
678,CHEBI:17846,"naringenin
"
678,C00509,"Flavanones
"
678,LMPK12140001,"Flavanones
"
683,C10112,"flavones
"
683,LMPK12111468,"Flavones and Flavonols
"
688,CHEBI:28412,"3'-hydroxyflavanones
tetrahydroxyflavanone
"
688,C05631,"Flavanones
"
688,LMPK12140002,"Flavanones
"
690,LMPK12111478,"Flavones and Flavonols
"
691,LMPK12111486,"Flavones and Flavonols
"
698,C14536,"Isoflavonoids
isoflavones
"
698,LMPK12050104,"Isoflavonoids
"
699,CHEBI:77444,"alkene
"
699,LMFA11000332,"Hydrocarbons
"
700,CHEBI:32368,"medium-chain fatty acid
straight-chain saturated fatty acid
"
700,C17715,"Straight chain fatty acids
"
700,LMFA01010011,"Straight chain fatty acids
"
704,LMGL03010003,"Triacylglycerols
"
710,CHEBI:15354,"cholines
"
710,C00114,"Pesticides
"
710,CHOLINE,"a small molecule
"
725,CPD-8223,"a halide
"
726,CHEBI:27789,"chloroethanes
"
726,12-DICHLOROETHANE,"a small molecule
"
736,CHEBI:37127,"alpha,beta-unsaturated monocarboxylic acid
monounsaturated fatty acid
methyl-branched fatty acid
short-chain fatty acid
"
736,LMFA01020097,"Branched fatty acids
"
737,CHEBI:36596,"carbonate ester
"
738,CHEBI:38358,"alpha,beta-unsaturated monocarboxylic acid
sorbic acid
"
738,LMFA01030100,"Unsaturated fatty acids
"
741,CHEBI:36592,"pyrrolidine-2-ones
"
745,CHEBI:63866,"primary aliphatic amine
"
751,CHEBI:9661,"triglyceride
"
751,LMGL03012615,"Triacylglycerols
"
752,CHEBI:16602,"chloroethenes
"
752,TRICHLOROETHENE,"a small molecule
"
753,CHEBI:16236,"primary alcohol
alkyl alcohol
ethanols
"
753,ETOH,"a primary alcohol
a short-chain alcohol
"
755,CHEBI:53016,"sulfonamide
isoxazoles
"
756,CHEBI:17754,"triol
alditol
"
756,C00116,"Glycerols
"
756,GLYCEROL,"a sugar alcohol
"
760,CHEBI:35255,"one-carbon compound
chloromethanes
"
760,CPD-843,"a small molecule
"
761,CHEBI:29005,"cycloalkane
"
761,CPD-8923,"a carbohydrate
"
762,CHEBI:6824,"polycyclic cage
"
763,CHEBI:64276,"dialdehyde
"
763,CPD-9052,"a small molecule
"
764,CHEBI:28262,"sulfoxide
"
764,DMSO,"a small molecule
"
769,CHEBI:16000,"primary alcohol
primary amine
ethanolamines
"
769,C00189,"Biogenic amines
"
769,ETHANOL-AMINE,"a small molecule
"
770,CPD-4746,"a sesquiterpenoid
"
774,CHEBI:9592,"2-methylbut-2-enoic acid
"
774,LMFA01020030,"Branched fatty acids
"
775,CHEBI:36431,"2-methylbut-2-enoic acid
"
775,LMFA01020029,"Branched fatty acids
"
778,CHEBI:18091,"dithiolanes
sulfur-containing carboxylic acid
dithiolanecarboxylic acid
"
787,CHEBI:17196,"L-alpha-amino acid
aspartate family amino acid
asparagine
"
787,C00152,"Common amino acids
"
789,CPD-13290,"a disaccharide
a 1->3-&beta;-D-xylan oligosaccharide
"
790,CHEBI:507499,"pentahydroxyflavone
"
790,C10192,"Flavones and Flavonols
flavones
"
790,LMPK12110847,"Flavones and Flavonols
"
801,APIGENIN,"a chalcone
"
