compound_id,flavor_id
11947,159
8298,213
8298,156
11889,231
11889,166
11889,165
12086,226
12086,213
768,114
8281,93
8281,213
3592,133
3592,231
3592,166
3254,213
3384,156
3266,231
3266,165
765,114
3241,85
12037,172
4344,156
3275,249
3275,226
3275,123
12547,160
7634,190
8128,140
8128,96
3286,181
8291,113
753,44
912,165
8286,213
8286,215
8286,227
11933,13
1325,69
12617,186
12617,164
3383,249
29793,133
3379,213
3379,59
8244,159
8244,213
3280,160
13888,231
8230,149
8230,13
8241,13
8241,213
12065,215
12065,14
12065,232
8081,156
8081,77
29794,59
29794,244
1366,164
5380,114
11802,13
11802,149
12087,156
12087,164
12087,44
8300,19
8297,164
8297,149
8131,181
3492,200
3492,133
3492,214
8080,156
8134,59
8134,164
8132,65
8132,181
8132,131
12550,156
12550,164
8235,89
8235,164
8235,7
12110,249
12110,200
29795,164
29796,59
29796,94
29797,146
29797,188
11120,231
8231,119
8240,59
8240,94
8240,221
14041,160
4613,213
12457,203
3276,164
3276,69
3276,71
1927,172
9848,69
3279,44
3279,221
8094,59
8069,167
8069,233
8069,157
8179,44
8179,139
8086,176
8086,59
29798,133
5817,94
8111,172
8111,241
21554,200
3272,213
3272,181
3272,59
12085,69
11937,164
11937,200
3229,96
3229,181
3229,213
1367,85
14724,118
758,114
3387,84
10899,128
10899,96
10899,44
8137,116
8137,224
29799,241
29799,154
29799,197
14736,215
11114,211
29800,164
29801,238
8083,69
8083,59
29802,69
19254,213
19254,164
12561,131
11880,69
1326,164
8082,157
8082,215
1324,232
1324,252
1324,215
15531,184
8092,167
6737,135
29803,188
8136,14
8136,232
8073,216
8073,160
8073,59
8057,172
10963,221
10963,191
8133,71
12455,164
11499,176
11499,59
11499,249
11499,164
8542,145
4400,232
12443,231
12443,213
12443,165
8091,59
8091,176
8091,100
5820,25
8056,225
13475,231
13475,200
13475,184
12555,119
12555,166
11130,119
14359,145
14359,220
19253,85
19253,226
20026,251
20026,164
13814,219
29804,200
8049,157
8049,50
8049,215
8062,122
8062,149
29805,154
29805,195
13957,140
13957,220
13957,218
13957,186
13911,220
13911,140
13911,218
8534,206
8534,250
13900,232
3231,232
10960,197
10960,206
10960,140
10960,184
29807,232
10900,141
10900,217
29808,208
3365,197
3365,217
757,114
15052,138
15052,125
9399,231
10965,217
10965,224
6726,231
6726,131
19463,231
12160,66
13899,164
13899,162
13899,44
29809,184
29810,165
4396,167
14369,210
14369,242
29811,125
5816,94
9393,183
3391,231
3391,213
3391,59
1413,250
1413,59
1413,172
8232,59
11996,59
8061,225
8061,157
8061,96
14664,96
14664,132
8054,139
8054,59
8380,44
8380,6
3346,172
3346,13
3346,216
12461,231
12461,159
12461,133
29812,144
9401,164
19916,184
3375,164
21353,133
21353,200
21353,195
29813,97
29813,197
15003,185
3366,66
3366,188
8239,66
9066,135
3350,66
10993,96
10993,39
10993,132
893,209
14711,104
14711,66
14711,221
29814,25
29814,188
13519,104
13519,242
13519,250
29815,154
29815,172
29816,154
29816,195
14924,190
14924,46
3090,168
3090,13
21567,164
21567,44
11163,154
911,231
3340,157
3340,225
3340,46
3340,59
3345,225
3345,166
15036,231
29817,163
8528,217
8528,6
8528,195
19928,117
19928,164
8788,245
8788,160
8788,100
15468,210
15468,216
15468,242
3343,66
3343,157
29818,201
19934,59
19934,71
13571,152
17407,119
17407,195
17407,229
20553,164
29819,197
29819,157
3344,192
3344,197
3344,66
13946,211
1267,164
1267,172
29820,172
29820,229
29821,129
29821,133
19457,231
19457,217
5891,114
14939,229
4833,50
4833,164
10952,217
10952,197
10952,231
12241,26
12241,42
12241,44
15051,138
15051,217
8546,217
13461,217
14632,242
14632,190
14632,229
10142,217
10142,211
14300,50
14300,190
14619,190
14619,44
3256,34
3256,59
14327,46
14327,216
29822,39
29823,232
15974,46
29824,188
1293,192
1293,162
13570,46
13570,49
29825,39
29826,197
20170,162
11614,197
11614,150
20388,39
3338,49
12109,195
12109,160
12109,96
17365,226
17365,166
17365,50
1462,50
1462,172
1462,160
8547,240
8547,59
8120,127
18755,164
18755,140
8544,39
14667,197
14667,100
14667,128
21170,217
19444,186
2957,59
2957,197
2957,157
16153,232
29827,169
29827,100
12544,39
12544,44
12544,189
14920,190
14920,237
29828,172
29829,250
29829,50
29829,135
8532,164
8532,59
8532,48
29830,164
29830,248
1465,44
