compound_id,name
1,2-arylbenzofuran flavonoid
1,Hydroxyflavonoid
1,7-hydroxyflavonoid
1,5-hydroxyflavonoid
1,4'-hydroxyflavonoid
1,Dibenzopyran
1,2-benzopyran
1,1-benzopyran
1,Benzopyran
1,Nitrotoluene
1,Benzofuran
1,Resorcinol
1,O-cresol
1,Phenol
1,Benzenoid
1,Monocyclic benzene moiety
1,Heteroaromatic compound
1,Furan
1,Polyol
1,Oxacycle
1,Organoheterocyclic compound
1,Ether
1,Acetal
1,Hydrocarbon derivative
1,Organooxygen compound
1,Aromatic heteropolycyclic compound
4,Anthocyanidin-3-o-glycoside
4,Flavonoid-3-o-glycoside
4,Hydroxyflavonoid
4,7-hydroxyflavonoid
4,5-hydroxyflavonoid
4,4'-hydroxyflavonoid
4,3'-hydroxyflavonoid
4,Anthocyanidin
4,O-glycosyl compound
4,Glycosyl compound
4,1-benzopyran
4,Benzopyran
4,Resorcinol
4,"1,2-diphenol"
4,Phenol
4,Benzenoid
4,Oxane
4,Monosaccharide
4,Saccharide
4,Monocyclic benzene moiety
4,Heteroaromatic compound
4,Acetate salt
4,Secondary alcohol
4,Polyol
4,Carboxylic acid ester
4,"1,2-diol"
4,Oxacycle
4,Organoheterocyclic compound
4,Ether
4,Carboxylic acid derivative
4,Acetal
4,Hydrocarbon derivative
4,Organooxygen compound
4,Carbonyl group
4,Alcohol
4,Organic cation
4,Aromatic heteropolycyclic compound
13,Anthocyanidin-3-o-glycoside
13,Flavonoid-3-o-glycoside
13,Saccharolipid
13,Hydroxyflavonoid
13,7-hydroxyflavonoid
13,5-hydroxyflavonoid
13,4'-hydroxyflavonoid
13,3'-hydroxyflavonoid
13,Anthocyanidin
13,O-glycosyl compound
13,Glycosyl compound
13,1-benzopyran
13,Benzopyran
13,Resorcinol
13,"1,2-diphenol"
13,Phenol
13,Fatty acid ester
13,Fatty acyl
13,Benzenoid
13,Oxane
13,Monosaccharide
13,Dicarboxylic acid or derivatives
13,Saccharide
13,Monocyclic benzene moiety
13,Heteroaromatic compound
13,Secondary alcohol
13,Polyol
13,Carboxylic acid ester
13,"1,2-diol"
13,Oxacycle
13,Organoheterocyclic compound
13,Ether
13,Carboxylic acid
13,Carboxylic acid derivative
13,Acetal
13,Hydrocarbon derivative
13,Organooxygen compound
13,Carbonyl group
13,Alcohol
13,Organic cation
13,Aromatic heteropolycyclic compound
22,Anthocyanidin-3-o-glycoside
22,Flavonoid-3-o-glycoside
22,Hydroxyflavonoid
22,7-hydroxyflavonoid
22,5-hydroxyflavonoid
22,4'-hydroxyflavonoid
22,3'-hydroxyflavonoid
22,Anthocyanidin
22,O-glycosyl compound
22,Glycosyl compound
22,1-benzopyran
22,Benzopyran
22,Resorcinol
22,"1,2-diphenol"
22,Phenol
22,Benzenoid
22,Monosaccharide
22,Saccharide
22,Monocyclic benzene moiety
22,Heteroaromatic compound
22,Acetate salt
22,Oxolane
22,Secondary alcohol
22,Carboxylic acid ester
22,"1,2-diol"
22,Oxacycle
22,Organoheterocyclic compound
22,Ether
22,Carboxylic acid derivative
22,Acetal
22,Hydrocarbon derivative
22,Organooxygen compound
22,Carbonyl group
22,Alcohol
22,Organic cation
22,Aromatic heteropolycyclic compound
48,Coumaric acid ester
48,Cinnamic acid ester
48,Coumaric acid or derivatives
48,O-glycosyl compound
48,Glycosyl compound
48,1-benzopyran
48,Benzopyran
48,Phenylpropene
48,Styrene
48,Quinone
48,O-benzoquinone
48,Phenol
48,Fatty acid ester
48,Fatty acyl
48,Benzenoid
48,Oxane
48,Monosaccharide
48,Saccharide
48,Monocyclic benzene moiety
48,"Alpha,beta-unsaturated carboxylic ester"
48,Enoate ester
48,Cyclic ketone
48,Secondary alcohol
48,Polyol
48,Ketone
48,Carboxylic acid ester
48,"1,2-diol"
48,Oxacycle
48,Organoheterocyclic compound
48,Monocarboxylic acid or derivatives
48,Ether
48,Carboxylic acid derivative
48,Acetal
48,Hydrocarbon derivative
48,Organooxygen compound
48,Carbonyl group
48,Alcohol
48,Organic cation
48,Aromatic heteropolycyclic compound
52,Flavonoid-3-o-glycoside
52,Methoxyflavonoid skeleton
52,3p-methoxyflavonoid-skeleton
52,Hydroxyflavonoid
52,7-hydroxyflavonoid
52,4'-hydroxyflavonoid
52,3'-hydroxyflavonoid
52,Anthocyanidin
52,O-glycosyl compound
52,Glycosyl compound
52,M-dimethoxybenzene
52,Dimethoxybenzene
52,1-benzopyran
52,Methoxyphenol
52,Benzopyran
52,Methoxybenzene
52,Phenol ether
52,"1,2-diphenol"
52,Anisole
52,Phenol
52,Alkyl aryl ether
52,Benzenoid
52,Oxane
52,Monosaccharide
52,Saccharide
52,Monocyclic benzene moiety
52,Heteroaromatic compound
52,Secondary alcohol
52,Polyol
52,"1,2-diol"
52,Oxacycle
52,Organoheterocyclic compound
52,Ether
52,Acetal
52,Hydrocarbon derivative
52,Primary alcohol
52,Organooxygen compound
52,Alcohol
52,Organic cation
52,Aromatic heteropolycyclic compound
59,Anthocyanidin-3-o-glycoside
59,Flavonoid-3-o-glycoside
59,Methoxyflavonoid skeleton
59,3p-methoxyflavonoid-skeleton
59,Hydroxyflavonoid
59,7-hydroxyflavonoid
59,5-hydroxyflavonoid
59,4'-hydroxyflavonoid
59,Anthocyanidin
59,O-glycosyl compound
59,Glycosyl compound
59,1-benzopyran
59,Methoxyphenol
59,Benzopyran
59,Methoxybenzene
59,Resorcinol
59,Phenol ether
59,Anisole
59,Phenol
59,Alkyl aryl ether
59,Benzenoid
59,"1,3-dicarbonyl compound"
59,Oxane
59,Monosaccharide
59,Dicarboxylic acid or derivatives
59,Saccharide
59,Monocyclic benzene moiety
59,Heteroaromatic compound
59,Secondary alcohol
59,Polyol
59,Carboxylic acid ester
59,"1,2-diol"
59,Oxacycle
59,Organoheterocyclic compound
59,Ether
59,Carboxylic acid
59,Carboxylic acid derivative
59,Acetal
59,Hydrocarbon derivative
59,Organooxygen compound
59,Carbonyl group
59,Alcohol
59,Organic cation
59,Aromatic heteropolycyclic compound
61,Anthocyanidin-3-o-glycoside
61,Flavonoid-3-o-glycoside
61,Hydroxyflavonoid
61,7-hydroxyflavonoid
61,5-hydroxyflavonoid
61,4'-hydroxyflavonoid
61,3'-hydroxyflavonoid
61,Anthocyanidin
61,Tetracarboxylic acid or derivatives
61,O-glycosyl compound
61,Glycosyl compound
61,Disaccharide
61,1-benzopyran
61,Benzopyran
61,Resorcinol
61,"1,2-diphenol"
61,Phenol
61,Benzenoid
61,"1,3-dicarbonyl compound"
61,Oxane
61,Saccharide
61,Monocyclic benzene moiety
61,Heteroaromatic compound
61,Secondary alcohol
61,Polyol
61,Carboxylic acid ester
61,"1,2-diol"
61,Oxacycle
61,Organoheterocyclic compound
61,Ether
61,Carboxylic acid
61,Carboxylic acid derivative
61,Acetal
61,Hydrocarbon derivative
61,Organooxygen compound
61,Carbonyl group
61,Alcohol
61,Organic cation
61,Aromatic heteropolycyclic compound
62,Anthocyanidin-3-o-glycoside
62,Flavonoid-3-o-glycoside
62,Hydroxyflavonoid
62,7-hydroxyflavonoid
62,5-hydroxyflavonoid
62,4'-hydroxyflavonoid
62,3'-hydroxyflavonoid
62,Anthocyanidin
62,O-glycosyl compound
62,Glycosyl compound
62,1-benzopyran
62,Benzopyran
62,Resorcinol
62,"1,2-diphenol"
62,Phenol
62,Benzenoid
62,"1,3-dicarbonyl compound"
62,Monosaccharide
62,Dicarboxylic acid or derivatives
62,Saccharide
62,Monocyclic benzene moiety
62,Heteroaromatic compound
62,Oxolane
62,Secondary alcohol
62,Carboxylic acid ester
62,"1,2-diol"
62,Oxacycle
62,Organoheterocyclic compound
62,Ether
62,Carboxylic acid
