id,name,flavor_group,category
1,celery,vegetable,odor
2,corn,vegetable,odor
3,cucumber,vegetable,odor
4,horseradish,vegetable,odor
5,vegetable,vegetable,odor
6,potato,vegetable,odor
7,tomato,vegetable,odor
8,caraway,herbaceous,odor
9,clove,herbaceous,odor
10,fennel,herbaceous,odor
11,herbaceous,herbaceous,odor
12,sage,herbaceous,odor
13,butter,fatty,odor
14,cheese,fatty,odor
15,creamy,fatty,odor
16,hop_oil,fatty,odor
17,oily,fatty,odor
18,fatty,fatty,odor
19,sour,fatty,odor
20,coumarin,spicy,odor
21,spicy,spicy,odor
22,blossom,floral,odor
23,carnation,floral,odor
24,gardenia,floral,odor
25,geranium,floral,odor
26,hawthorne,floral,odor
27,hyacinth,floral,odor
28,iris,floral,odor
29,jasmine,floral,odor
30,lavender,floral,odor
31,lily,floral,odor
32,marigold,floral,odor
33,floral,floral,odor
34,rose,floral,odor
35,violet,floral,odor
36,anise,balsamic,odor
37,balsam,balsamic,odor
38,butterscotch,balsamic,odor
39,caramel,balsamic,odor
40,chocolate,balsamic,odor
41,cinnamon,balsamic,odor
42,honey,balsamic,odor
43,others,balsamic,odor
44,sweet,balsamic,odor
45,vanilla,balsamic,odor
46,lemon,citrus,odor
47,lime,citrus,odor
48,melon,citrus,odor
49,orange,citrus,odor
50,citrus,citrus,odor
51,cedar,woody,odor
52,maple,woody,odor
53,mesquite,woody,odor
54,woody,woody,odor
55,bacon,meaty,odor
56,beef,meaty,odor
57,meaty,meaty,odor
58,leafy,green,odor
59,green,green,odor
60,wintergreen,green,odor
61,beer,wine_like,odor
62,brandy,wine_like,odor
63,wine_like,wine_like,odor
64,rum,wine_like,odor
65,whiskey,wine_like,odor
66,mushroom,earthy,odor
67,musty,earthy,odor
68,earthy,earthy,odor
69,apple,fruity,odor
70,apricot,fruity,odor
71,banana,fruity,odor
72,berry,fruity,odor
73,cantaloupe,fruity,odor
74,cherry,fruity,odor
75,coconut,fruity,odor
76,cranberry,fruity,odor
77,grape,fruity,odor
78,grapefruit,fruity,odor
79,jam,fruity,odor
80,mango,fruity,odor
81,fruity,fruity,odor
82,papaya,fruity,odor
83,peach,fruity,odor
84,pear,fruity,odor
85,pineapple,fruity,odor
86,plum,fruity,odor
