id,external_id,annotations,compound_id,creator_id,updater_id,created_at,updated_at
1,CHEBI:6584,"anthocyanidin cation
",78,,,2015-02-23 22:40:02 UTC,2015-02-23 22:40:02 UTC
2,C08652,"Anthocyanidins and anthocyanins
",78,,,2015-02-23 22:40:02 UTC,2015-02-23 22:40:02 UTC
3,CPD-11945,"a small molecule
",78,,,2015-02-23 22:40:02 UTC,2015-02-23 22:40:02 UTC
4,LMPK12120534,"Chalcones and dihydrochalcones
",87,,,2015-02-23 22:40:07 UTC,2015-02-23 22:40:07 UTC
5,CHEBI:76132,"polyphenol
gallate ester
catechin
",97,,,2015-02-23 22:40:09 UTC,2015-02-23 22:40:09 UTC
6,LMPK12020089,"Flavans, Flavanols and Leucoanthocyanidins
",97,,,2015-02-23 22:40:09 UTC,2015-02-23 22:40:09 UTC
7,CHEBI:18010,"trihydroxyflavone
dimethoxyflavone
",176,,,2015-02-23 22:40:15 UTC,2015-02-23 22:40:15 UTC
8,C01265,"flavonols
",176,,,2015-02-23 22:40:15 UTC,2015-02-23 22:40:15 UTC
9,LMPK12112731,"Flavones and Flavonols
",176,,,2015-02-23 22:40:15 UTC,2015-02-23 22:40:15 UTC
10,345-TRIHYDROXY-37-DIMETHOXYFLAVONE,"a flavonol derivative
",176,,,2015-02-23 22:40:15 UTC,2015-02-23 22:40:15 UTC
11,LMPK12113021,"Flavones and Flavonols
",218,,,2015-02-23 22:40:24 UTC,2015-02-23 22:40:24 UTC
12,CHEBI:75489,"cinnamate ester
cyclitol carboxylic acid
",275,,,2015-02-23 22:40:28 UTC,2015-02-23 22:40:28 UTC
13,CHEBI:41941,"catechols
dihydroxyphenylacetic acid
",316,,,2015-02-23 22:40:47 UTC,2015-02-23 22:40:47 UTC
14,CHEBI:49584,"phenols
",358,,,2015-02-23 22:40:52 UTC,2015-02-23 22:40:52 UTC
15,CPD-10596,"an aromatic compound
",358,,,2015-02-23 22:40:52 UTC,2015-02-23 22:40:52 UTC
16,CHEBI:16469,"17beta-hydroxy steroid
estradiol
",362,,,2015-02-23 22:40:55 UTC,2015-02-23 22:40:55 UTC
17,C00951,"C18 steroids (estrogens) and derivatives
Estrane and derivatives
Estrogens
",362,,,2015-02-23 22:40:55 UTC,2015-02-23 22:40:55 UTC
18,LMST02010001,"C18 steroids (estrogens) and derivatives
",362,,,2015-02-23 22:40:55 UTC,2015-02-23 22:40:55 UTC
19,LMPK12113018,"Flavones and Flavonols
",364,,,2015-02-23 22:41:02 UTC,2015-02-23 22:41:02 UTC
20,CHEBI:17113,"butane-1,2,3,4-tetrol
",371,,,2015-02-23 22:41:08 UTC,2015-02-23 22:41:08 UTC
21,LMFA07010627,"Wax monoesters
",412,,,2015-02-23 22:41:53 UTC,2015-02-23 22:41:53 UTC
22,LMFA07010625,"Wax monoesters
",416,,,2015-02-23 22:42:00 UTC,2015-02-23 22:42:00 UTC
23,LMPK12050003,"Isoflavonoids
",431,,,2015-02-23 22:42:16 UTC,2015-02-23 22:42:16 UTC
24,CHEBI:17818,"tyramines
",432,,,2015-02-23 22:42:18 UTC,2015-02-23 22:42:18 UTC
25,CHEBI:15760,"monoamine molecular messenger
primary amino compound
tyramines
",433,,,2015-02-23 22:42:20 UTC,2015-02-23 22:42:20 UTC
26,C00483,"Biogenic amines
Tyramine derivatives
",433,,,2015-02-23 22:42:20 UTC,2015-02-23 22:42:20 UTC
27,CHEBI:17458,"tyramines
",435,,,2015-02-23 22:42:25 UTC,2015-02-23 22:42:25 UTC
28,C02442,"Tyramine derivatives
",435,,,2015-02-23 22:42:25 UTC,2015-02-23 22:42:25 UTC
29,CHEBI:17183,"benzophenanthridine alkaloid
",436,,,2015-02-23 22:42:26 UTC,2015-02-23 22:42:26 UTC
30,C06162,"Isoquinoline alkaloids
",436,,,2015-02-23 22:42:26 UTC,2015-02-23 22:42:26 UTC
31,SANGUINARINE,"a small molecule
",436,,,2015-02-23 22:42:26 UTC,2015-02-23 22:42:26 UTC
32,CHEBI:34970,"carbamate ester
organic heterotricyclic compound
guanidines
alkaloid
",437,,,2015-02-23 22:42:28 UTC,2015-02-23 22:42:28 UTC
33,C13757,"Alkaloids
Carbamate derivatives
",437,,,2015-02-23 22:42:28 UTC,2015-02-23 22:42:28 UTC
34,CHEBI:27479,"hydroxyisoflavone
",442,,,2015-02-23 22:42:32 UTC,2015-02-23 22:42:32 UTC
35,C02495,"Isoflavonoids
isoflavones
",442,,,2015-02-23 22:42:32 UTC,2015-02-23 22:42:32 UTC
36,LMPK12050083,"Isoflavonoids
",442,,,2015-02-23 22:42:32 UTC,2015-02-23 22:42:32 UTC
37,2-HYDROXYDAIDZEIN,"a small molecule
",442,,,2015-02-23 22:42:32 UTC,2015-02-23 22:42:32 UTC
38,CHEBI:17895,"L-alpha-amino acid
erythrose 4-phosphate/phosphoenolpyruvate family amino acid
tyrosine
",446,,,2015-02-23 22:42:37 UTC,2015-02-23 22:42:37 UTC
39,C00082,"Common amino acids
",446,,,2015-02-23 22:42:37 UTC,2015-02-23 22:42:37 UTC
40,CHEBI:28241,"benzylisoquinoline alkaloid
dimethoxybenzene
isoquinolines
",447,,,2015-02-23 22:42:42 UTC,2015-02-23 22:42:42 UTC
41,C06533,"Isoquinoline alkaloids
",447,,,2015-02-23 22:42:42 UTC,2015-02-23 22:42:42 UTC
42,CHEBI:28821,"benzodioxoles
piperidine alkaloid
carboxamide
N-acylpiperidine
",452,,,2015-02-23 22:42:45 UTC,2015-02-23 22:42:45 UTC
43,C03882,"Piperidine alkaloids
",452,,,2015-02-23 22:42:45 UTC,2015-02-23 22:42:45 UTC
44,CHEBI:28177,"dimethylxanthine
",453,,,2015-02-23 22:42:47 UTC,2015-02-23 22:42:47 UTC
45,C07130,"Purine alkaloids
",453,,,2015-02-23 22:42:47 UTC,2015-02-23 22:42:47 UTC
46,CPD-12479,"a small molecule
",453,,,2015-02-23 22:42:47 UTC,2015-02-23 22:42:47 UTC
47,CHEBI:28946,"dimethylxanthine
",455,,,2015-02-23 22:42:52 UTC,2015-02-23 22:42:52 UTC
48,C07480,"Purine alkaloids
",455,,,2015-02-23 22:42:52 UTC,2015-02-23 22:42:52 UTC
49,3-7-DIMETHYLXANTHINE,"a small molecule
",455,,,2015-02-23 22:42:52 UTC,2015-02-23 22:42:52 UTC
50,CHEBI:16927,"L-lysine derivative
",461,,,2015-02-23 22:42:58 UTC,2015-02-23 22:42:58 UTC
51,CHEBI:35280,"amino-acid betaine
n-methyl-l-amino acid
",463,,,2015-02-23 22:43:01 UTC,2015-02-23 22:43:01 UTC
52,C10172,"Pyrrolidine alkaloids
",463,,,2015-02-23 22:43:01 UTC,2015-02-23 22:43:01 UTC
53,CHEBI:16414,"L-alpha-amino acid
pyruvate family amino acid
valine
",465,,,2015-02-23 22:43:03 UTC,2015-02-23 22:43:03 UTC
54,C00183,"Common amino acids
",465,,,2015-02-23 22:43:03 UTC,2015-02-23 22:43:03 UTC
55,CPD0-2189,"a small molecule
",470,,,2015-02-23 22:43:10 UTC,2015-02-23 22:43:10 UTC
56,CHEBI:18019,"L-alpha-amino acid
lysine
aspartate family amino acid
",474,,,2015-02-23 22:43:16 UTC,2015-02-23 22:43:16 UTC
57,C00047,"Common amino acids
",474,,,2015-02-23 22:43:16 UTC,2015-02-23 22:43:16 UTC
58,CHEBI:17752,"acetyl-L-lysine
N(6)-acyl-L-lysine
",476,,,2015-02-23 22:43:19 UTC,2015-02-23 22:43:19 UTC
59,CHEBI:15428,"alpha-amino acid
serine family amino acid
",484,,,2015-02-23 22:43:30 UTC,2015-02-23 22:43:30 UTC
60,C00037,"Common amino acids
Amino acids
",484,,,2015-02-23 22:43:30 UTC,2015-02-23 22:43:30 UTC
61,CHEBI:609827,"L-alpha-amino acid
",505,,,2015-02-23 22:44:06 UTC,2015-02-23 22:44:06 UTC
62,CHEBI:17929,"methyl-L-arginine
",508,,,2015-02-23 22:44:13 UTC,2015-02-23 22:44:13 UTC
63,CHEBI:25682,"methyl-L-arginine
",509,,,2015-02-23 22:44:15 UTC,2015-02-23 22:44:15 UTC
64,CHEBI:28229,"methyl-L-arginine
",510,,,2015-02-23 22:44:17 UTC,2015-02-23 22:44:17 UTC
65,CHEBI:15727,"dipeptide
",511,,,2015-02-23 22:44:19 UTC,2015-02-23 22:44:19 UTC
66,CHEBI:63961,"tripeptide
",517,,,2015-02-23 22:44:28 UTC,2015-02-23 22:44:28 UTC
67,NALPHANALPHANALPHA-TRIMETHYL-L-H,"a small molecule
",520,,,2015-02-23 22:44:31 UTC,2015-02-23 22:44:31 UTC
68,CHEBI:15699,"homoserine
",522,,,2015-02-23 22:44:32 UTC,2015-02-23 22:44:32 UTC
69,C00263,"Other amino acids
",522,,,2015-02-23 22:44:33 UTC,2015-02-23 22:44:33 UTC
70,CHEBI:30913,"pipecolic acid
",546,,,2015-02-23 22:45:00 UTC,2015-02-23 22:45:00 UTC
71,C00408,"Piperidine alkaloids
",546,,,2015-02-23 22:45:00 UTC,2015-02-23 22:45:00 UTC
72,CHEBI:16977,"L-alpha-amino acid
pyruvate family amino acid
alanine
",556,,,2015-02-23 22:45:09 UTC,2015-02-23 22:45:09 UTC
73,C00041,"Common amino acids
",556,,,2015-02-23 22:45:09 UTC,2015-02-23 22:45:09 UTC
74,CHEBI:18145,"alpha-tocopherol
",565,,,2015-02-23 22:45:18 UTC,2015-02-23 22:45:18 UTC
75,C02477,"Vitamin E
Fat-soluble vitamins
",565,,,2015-02-23 22:45:18 UTC,2015-02-23 22:45:18 UTC
76,LMPR02020000,"Vitamin E
",565,,,2015-02-23 22:45:18 UTC,2015-02-23 22:45:18 UTC
77,CHEBI:15765,"dopa
",567,,,2015-02-23 22:45:23 UTC,2015-02-23 22:45:23 UTC
78,C00355,"Other amino acids
Biogenic amines
",567,,,2015-02-23 22:45:23 UTC,2015-02-23 22:45:23 UTC
79,CHEBI:2877,"dipeptide
",569,,,2015-02-23 22:45:27 UTC,2015-02-23 22:45:27 UTC
80,CHEBI:17203,"L-alpha-amino acid
glutamine family amino acid
proline
",570,,,2015-02-23 22:45:30 UTC,2015-02-23 22:45:30 UTC
81,C00148,"Common amino acids
",570,,,2015-02-23 22:45:30 UTC,2015-02-23 22:45:30 UTC
82,CHEBI:16347,"carnitine
",572,,,2015-02-23 22:45:34 UTC,2015-02-23 22:45:34 UTC
83,CHEBI:16709,"monohydroxypyridine
hydroxymethylpyridine
methylpyridines
vitamin B6
",574,,,2015-02-23 22:45:37 UTC,2015-02-23 22:45:37 UTC
84,C00314,"Water-soluble vitamins
",574,,,2015-02-23 22:45:37 UTC,2015-02-23 22:45:37 UTC
85,PYRIDOXINE,"a vitamin B6
",574,,,2015-02-23 22:45:37 UTC,2015-02-23 22:45:37 UTC
86,CHEBI:15709,"8-hydroxyfurocoumarin
",578,,,2015-02-23 22:45:43 UTC,2015-02-23 22:45:43 UTC
87,C00841,"Furanocoumarins
",578,,,2015-02-23 22:45:43 UTC,2015-02-23 22:45:43 UTC
88,CPD-13041,"an 8-hydroxyfurocoumarin
",578,,,2015-02-23 22:45:43 UTC,2015-02-23 22:45:43 UTC
89,LMPK12110091,"Flavones and Flavonols
",582,,,2015-02-23 22:45:48 UTC,2015-02-23 22:45:48 UTC
90,C10065,"xanthenes
",584,,,2015-02-23 22:45:50 UTC,2015-02-23 22:45:50 UTC
91,LMPK12090021,"Coumestan flavonoids
",586,,,2015-02-23 22:45:53 UTC,2015-02-23 22:45:53 UTC
92,CHEBI:4932,"dihydroxyflavone
trimethoxyflavone
",591,,,2015-02-23 22:45:59 UTC,2015-02-23 22:45:59 UTC
93,C10040,"Flavones and Flavonols
flavones
",591,,,2015-02-23 22:45:59 UTC,2015-02-23 22:45:59 UTC
94,LMPK12111228,"Flavones and Flavonols
",591,,,2015-02-23 22:45:59 UTC,2015-02-23 22:45:59 UTC
95,CHEBI:6052,"monomethoxyflavone
tetrahydroxyflavone
7-hydroxyflavonol
",604,,,2015-02-23 22:46:12 UTC,2015-02-23 22:46:12 UTC
